ux,uy,x,y
0.00517528,-0.051845,4.87179,0.8
0.00529095,-0.0563612,5.12821,0.8
0.00539509,-0.0609691,5.38462,0.8
0.0054883,-0.0656591,5.64103,0.8
0.0055712,-0.0704222,5.89744,0.8
0.00564439,-0.0752497,6.15385,0.8
0.00570847,-0.0801336,6.41026,0.8
0.00576406,-0.0850665,6.66667,0.8
0.00581175,-0.0900413,6.92308,0.8
0.00585217,-0.0950515,7.17949,0.8
0.00588591,-0.100091,7.4359,0.8
0.00591358,-0.105155,7.69231,0.8
0.00593578,-0.110238,7.94872,0.8
0.00595314,-0.115335,8.20513,0.8
0.00596624,-0.120443,8.46154,0.8
0.0059757,-0.125559,8.71795,0.8
0.00598213,-0.130679,8.97436,0.8
0.00598613,-0.135802,9.23077,0.8
0.00598831,-0.140924,9.48718,0.8
0.00598924,-0.146046,9.74359,0.8
0.00598949,-0.151167,10,0.8
0,0,0,0.9
0.000588178,-0.000334432,0.25641,0.9
0.00115496,-0.000969463,0.512821,0.9
0.00169353,-0.00195254,0.769231,0.9
0.00220338,-0.00327,1.02564,0.9
0.00268499,-0.00490348,1.28205,0.9
0.00313909,-0.00683496,1.53846,0.9
0.00356649,-0.00904704,1.79487,0.9
0.00396799,-0.0115229,2.05128,0.9
0.00434441,-0.0142461,2.30769,0.9
0.00469656,-0.0172009,2.5641,0.9
0.00502524,-0.020372,2.82051,0.9
0.00533126,-0.0237446,3.07692,0.9
0.00561543,-0.0273044,3.33333,0.9
0.00587857,-0.0310377,3.58974,0.9
0.00612147,-0.0349312,3.84615,0.9
0.00634496,-0.0389723,4.10256,0.9
0.00654983,-0.0431488,4.35897,0.9
0.0067369,-0.0474489,4.61538,0.9
0.00690698,-0.0518616,4.87179,0.9
0.00706087,-0.0563762,5.12821,0.9
0.00719939,-0.0609826,5.38462,0.9
0.00732335,-0.0656712,5.64103,0.9
0.00743355,-0.0704329,5.89744,0.9
0.0075308,-0.0752591,6.15385,0.9
0.00761591,-0.0801419,6.41026,0.9
0.0076897,-0.0850736,6.66667,0.9
0.00775297,-0.0900474,6.92308,0.9
0.00780652,-0.0950566,7.17949,0.9
0.00785118,-0.100095,7.4359,0.9
0.00788774,-0.105158,7.69231,0.9
0.00791702,-0.11024,7.94872,0.9
0.00793983,-0.115337,8.20513,0.9
0.00795697,-0.120445,8.46154,0.9
0.00796926,-0.12556,8.71795,0.9
0.0079775,-0.13068,8.97436,0.9
0.0079825,-0.135802,9.23077,0.9
0.00798508,-0.140925,9.48718,0.9
0.00798606,-0.146047,9.74359,0.9
0.00798625,-0.151167,10,0.9
0,0,0,1
0.000760037,-0.000405525,0.25641,1
0.00146421,-0.00104181,0.512821,1
0.00213615,-0.00202151,0.769231,1
0.00277289,-0.00333525,1.02564,1
0.00337437,-0.00496505,1.28205,1
0.00394147,-0.00689297,1.53846,1
0.00447518,-0.00910159,1.79487,1
0.00497653,-0.0115741,2.05128,1
0.00544652,-0.014294,2.30769,1
0.00588617,-0.0172457,2.5641,1
0.00629648,-0.0204137,2.82051,1
0.00667848,-0.0237834,3.07692,1
0.00703316,-0.0273404,3.33333,1
0.00736155,-0.031071,3.58974,1
0.00766464,-0.0349619,3.84615,1
0.00794347,-0.0390005,4.10256,1
0.00819902,-0.0431746,4.35897,1
0.00843233,-0.0474724,4.61538,1
0.00864439,-0.0518829,4.87179,1
0.00883623,-0.0563954,5.12821,1
0.00900885,-0.0609999,5.38462,1
0.00916326,-0.0656866,5.64103,1
0.00930047,-0.0704465,5.89744,1
0.0094215,-0.0752711,6.15385,1
0.00952736,-0.0801523,6.41026,1
0.00961906,-0.0850826,6.66667,1
0.00969761,-0.090055,6.92308,1
0.00976402,-0.0950631,7.17949,1
0.0098193,-0.100101,7.4359,1
0.00986448,-0.105163,7.69231,1
0.00990054,-0.110244,7.94872,1
0.00992852,-0.11534,8.20513,1
0.00994941,-0.120447,8.46154,1
0.00996424,-0.125561,8.71795,1
0.00997401,-0.130681,8.97436,1
0.00997973,-0.135803,9.23077,1
0.00998242,-0.140925,9.48718,1
0.00998314,-0.146047,9.74359,1
0.0099831,-0.151167,10,1
